feature1,feature2,feature3,feature4,feature5,feature6,Species
69,6.2,2.2,4.5,0.923929294,1.5,2
70,5.6,2.5,3.9,0.788138594,1.1,2
71,5.9,3.2,4.8,0.662635482,1.8,2
72,6.1,2.8,4,0.086889056,1.3,2
73,6.3,2.5,4.9,0.81961881,1.5,2
74,6.1,2.8,4.7,0.995499964,1.2,2
75,6.4,2.9,4.3,0.162889507,1.3,2
76,6.6,3,4.4,0.913296639,1.4,2
77,6.8,2.8,4.8,0.607307132,1.4,2
78,6.7,3,5,0.222746945,1.7,2
79,6,2.9,4.5,0.691582038,1.5,2
80,5.7,2.6,3.5,0.70301423,1,2
81,5.5,2.4,3.8,0.949559429,1.1,2
82,5.5,2.4,3.7,0.042249023,1,2
83,5.8,2.7,3.9,0.115155727,1.2,2
84,6,2.7,5.1,0.641022702,1.6,2
85,5.4,3,4.5,0.777521128,1.5,2
86,6,3.4,4.5,0.048070747,1.6,2
87,6.7,3.1,4.7,0.684102991,1.5,2
88,6.3,2.3,4.4,0.425177266,1.3,2
89,5.6,3,4.1,0.767574519,1.3,2
90,5.5,2.5,4,0.361507129,1.3,2
91,5.5,2.6,4.4,0.198627284,1.2,2
92,6.1,3,4.6,0.904196293,1.4,2
93,5.8,2.6,4,0.105818248,1.2,2
94,5,2.3,3.3,0.574338895,1,2
95,5.6,2.7,4.2,0.242353076,1.3,2
96,5.7,3,4.2,0.721229077,1.2,2
97,5.7,2.9,4.2,0.623472786,1.3,2
98,6.2,2.9,4.3,0.455077596,1.3,2
99,5.1,2.5,3,0.783286053,1.1,2
100,5.7,2.8,4.1,0.337682649,1.3,2
101,6.3,3.3,6,0.152180468,2.5,3
102,5.8,2.7,5.1,0.623935394,1.9,3
103,7.1,3,5.9,0.276582197,2.1,3
104,6.3,2.9,5.6,0.01597254,1.8,3
105,6.5,3,5.8,0.973032411,2.2,3
106,7.6,3,6.6,0.114281177,2.1,3
107,4.9,2.5,4.5,0.228732497,1.7,3
108,7.3,2.9,6.3,0.111459358,1.8,3
109,6.7,2.5,5.8,0.973491228,1.8,3
110,7.2,3.6,6.1,0.15377906,2.5,3
111,6.5,3.2,5.1,0.694901757,2,3
112,6.4,2.7,5.3,0.122845165,1.9,3
113,6.8,3,5.5,0.718025655,2.1,3
114,5.7,2.5,5,0.907961912,2,3
115,5.8,2.8,5.1,0.738622436,2.4,3
116,6.4,3.2,5.3,0.232136622,2.3,3
117,6.5,3,5.5,0.21633991,1.8,3
118,7.7,3.8,6.7,0.716536765,2.2,3
119,7.7,2.6,6.9,0.787572901,2.3,3
120,6,2.2,5,0.40685474,1.5,3
121,6.9,3.2,5.7,0.809573329,2.3,3
122,5.6,2.8,4.9,0.061316446,2,3
123,7.7,2.8,6.7,0.182432372,2,3
124,6.3,2.7,4.9,0.275154805,1.8,3
125,6.7,3.3,5.7,0.953784944,2.1,3
126,7.2,3.2,6,0.159465755,1.8,3
127,6.2,2.8,4.8,0.359012314,1.8,3
128,6.1,3,4.9,0.331436347,1.8,3
129,6.4,2.8,5.6,0.821911002,2.1,3
130,7.2,3,5.8,0.154725182,1.6,3
131,7.4,2.8,6.1,0.530133645,1.9,3
132,7.9,3.8,6.4,0.383188387,2,3
133,6.4,2.8,5.6,0.941032201,2.2,3
134,6.3,2.8,5.1,0.951568585,1.5,3
135,6.1,2.6,5.6,0.994322698,1.4,3
136,7.7,3,6.1,0.377141811,2.3,3
137,6.3,3.4,5.6,0.381030408,2.4,3
138,6.4,3.1,5.5,0.669386884,1.8,3
139,6,3,4.8,0.125912351,1.8,3
140,6.9,3.1,5.4,0.416634506,2.1,3
141,6.7,3.1,5.6,0.126344678,2.4,3
142,6.9,3.1,5.1,0.508596923,2.3,3
143,5.8,2.7,5.1,0.905632201,1.9,3
144,6.8,3.2,5.9,0.700417094,2.3,3
145,6.7,3.3,5.7,0.532242507,2.5,3
146,6.7,3,5.2,0.61996783,2.3,3
147,6.3,2.5,5,0.117455508,1.9,3
148,6.5,3,5.2,0.135139008,2,3
149,6.2,3.4,5.4,0.416023308,2.3,3
150,5.9,3,5.1,0.711040461,1.8,3
